user_count,poster,post_text,url
149,Disney+,"More entertainment, less ads. Now you can get The Disney Bundle with Hulu (No Ads).",https://www.disneyplus.com/welcome/disney-bundle-hulu-no-ads
93,,"For Boxed Warning and Medication Guide, see bit.ly/BTXCpi - Meet Stephen, 52: a real BOTOX® Cosmetic patient and makeup artist. It was time for him to do something for himself and book a BOTOX® Cosmetic consultation. #SeeYourself … See More",https://media.allergan.com/actavis/actavis/media/allergan-pdf-documents/product-prescribing/20190626-BOTOX-Cosmetic-Insert-72715US10-Med-Guide-v2-0MG1145.pdf
90,CDC,Longstanding inequities have made some rural people more likely to get severely ill from COVID-19.,https://vaccines.gov
83,Eli Lilly and Company,"No matter who you are, you deserve a fair chance at health. There is work to be done. #WeAreLilly",https://www.lilly.com/who-we-are/health-above-all
77,Expedia,"Like a great companion, Expedia has your back throughout your journey.",https://www.expedia.com/?BRANDCID=%5B%27US.SOCIAL.FACEBOOK.BRAND-Q221-COMPANION.GENERIC%27%5D
72,SoFi,See how low your SoFi Home Loan rate can go—and get $20 when you check your rate by 7/6/21. Terms apply.*,https://www.sofi.com/home-loans/
69,CDC,COVID-19 vaccines are safe and effective at preventing COVID-19.,https://vaccines.gov
62,,BEXSERO is approved for use in 10-25 year olds. PI: http://bit.ly/26aBMVP IMPORTANT SAFETY INFORMATION ABOUT BEXSERO • Anyone who is allergic to the ingredients of BEXSERO or who had a severe allergic reaction after a previous dose should not receive BEXSERO … See More,https://gskpro.com/content/dam/global/hcpportal/en_US/Prescribing_Information/Bexsero/pdf/BEXSERO.PDF
61,Ibotta,"With the extension, you can shop for clothes, electronics and more — conveniently from your computer, all while earning cash back!",https://home.ibotta.com/get-the-extension-2/
55,Expedia,"Like a great companion, Expedia has your back throughout your journey.",https://www.expedia.com/?BRANDCID=%5B%27US.SOCIAL.FACEBOOK.BRAND-Q221-COMPANION.GENERIC%27%5D
55,Philips Hue,"Whether relaxing after a day of work or playfully lighting a dinner party, you can light your home smarter with Philips Hue.",https://www.philips-hue.com/en-us/explore-hue/propositions/smart-outdoor-lighting
53,Blue Cross and Blue Shield Association,Good health shouldn’t depend on the color of your skin or the neighborhood you live in. That’s why Blue Cross and Blue Shield companies are launching a National Health Equity Strategy for all the communities we serve. We’re starting by working to reduce raci … See More,https://www.bcbs.com/the-health-of-america/healthequity/
53,Ibotta,Never miss out on cash back with the Ibotta browser extension. Earn cash back on everyday online purchases with exclusive offers right from your computer!,https://home.ibotta.com/get-the-extension-2/
52,PayPal,Earn $10 cashback when you make a touch-free payment of $20 or more at CVS® stores.,https://www.paypal.com/us/webapps/mpp/cvs-qr-code
50,HBO Max,"Stream iconic movies, series & originals at a new price. HBO Max now starts at $9.99/month — 33% off our original plan.",https://www.hbomax.com
48,,For severe eosinophilic asthma in patients 6+. Not for sudden breathing problems. Talk to a doctor. bit.ly/NUCALARiskInfo,https://www.nucala.com/severe-asthma/risks-and-side-effects/
48,,"Treating relapsing multiple sclerosis at home with KESIMPTA Sensoready® Pen delivers proven results and at-home flexibility. Please see full Prescribing Information, including Medication Guide: https://bit.ly/2Qx4uPq",https://www.novartis.us/sites/www.novartis.us/files/kesimpta.pdf
48,,"Treating relapsing multiple sclerosis at home with KESIMPTA Sensoready® Pen delivers proven results and at-home flexibility. Please see full Prescribing Information, including Medication Guide: https://bit.ly/2Qx4uPq",https://www.kesimpta.com/
47,,"For Boxed Warning and Medication Guide, see bit.ly/BTXCpi - Meet Monique, 41: a real BOTOX® Cosmetic patient and a federally-contracted background investigator. As a hard-working mother of three, she’s embracing life now that her kids are grown and learnin … See More",https://media.allergan.com/actavis/actavis/media/allergan-pdf-documents/product-prescribing/20190626-BOTOX-Cosmetic-Insert-72715US10-Med-Guide-v2-0MG1145.pdf
46,Nasdaq,There’s no one face to mental health struggles. Millions suffer every day. Do you? Help is here at LifeStance.com. Nasdaq: LFST,https://lifestance.com/