group_name,n_user_recommend,group_slug,n_members
The Marriage Club,368,themarriage,1000000
Weird (and Wonderful) Secondhand Finds That Just Need To Be Shared,312,WeirdSecondhandFinds,2100000
"DIY,Ideas,Projects,Crafts and more",306,diycrafters,586000
Not The New York Times Cooking Community,243,nytcooks,90000
Good Old Days,224,goodoldday,650000
Foods We ate as Kids in the 1960s and 1970s,197,404129904205544,87000
Beach Memes,192,beachmemes,118000
I Love Squirrels,183,331146467047902,34000
Far Side,163,409602143609894,101000
Milk Street Community,163,177milkstreet,60000
310 Nutrition Community,154,310community,412000
Cheap Meal Ideas,154,cheapmealideas,2500000
Instant Pot® Community,152,InstantPotCommunity,3000000
The Fabulous Fifties,152,363569810721942,276000
We Pretend It’s Still The 1970s ✌ by DoYouRemember.com,147,DoYouRememberThe90sand00sFanClub,109000
National Park Service (Fan Page),140,National.Park.Service,283000
Cast Iron Cooking,140,castironskillet,423000
CARTOONS AND JOKES,139,252278818781313,120000
ALDI Aisle of Shame Community,138,aldiaisleofshame,781000
Unique Trees,138,579079902729685,478000
The Far Side,137,farsidecomic,128000
Air Fryer Tips and Recipes,131,1522233111383384,1200000
Crafty Fun Group,130,craftyfungroup,862000
CatsAddict®,129,CatsAddict,306000
GET THE HELL OFF MY  LAWN!,126,331030523929073,100000
Snoopy is awesome,124,1267455446676896,119000
Remember the 80's,123,909036456231866,161000
Official Sweepstakes Fanatics Group,123,sweepstakesfanatics,11000
Just For Jokes,120,justforjokesgroup,463000
Relaxing Mood,120,515023562608045,956000
The Absurd Sign Project 2.0,114,theabsurdsignproject,85000
Dumb But Funny,114,325329664740003,81000
"Home, Garden and DIY",114,160406744564975,363000
Crafting with The Shabby Tree,112,craftingwiththeshabbytree,756000
LAUGH WITH THE LADIES,112,laughwiththeladies1,528000
The Far Side,111,thefarsides,563000
Turner Classic Movies For Fans!,111,TCMforFans,158000
Instant Pot 101 for Beginners,109,InstantPot101forBeginners,699000
Girls LOVE Travel®,107,GirlsLOVETravel,1100000
Please show to Jim ! ! HA ! ! HA ! !,106,pleaseshowtojimhaha,361000
"Freebie group! Influenster, BzzAgent, Pinch Me, Sampler, etc...",106,365277401179525,6400
Official Hungryroot Community Page,105,hungryroot,7700
Live Love Elephant,104,liveloveelephant,168000
Fans of Vince the Sign Guy,102,3570718922963507,11000
Remembering Days gone by 30s-80s,102,705750356671075,158000
Calvin and Hobbes Ride Again,101,1951125591822299,244000
The History Of American Television,98,1629443594050494,66000
Human Psychology,96,4109599345735917,194000
Monty Python Fans Group,96,2792383054416369,165000
I Remember the 1970s,96,149448398994864,127000